order-id	order-item-id	purchase-date	payments-date	buyer-email	buyer-name	buyer-phone-number	sku	product-name	quantity-purchased	currency	item-price	item-tax	shipping-price	shipping-tax	ship-service-level	recipient-name	ship-address-1	ship-address-2	ship-address-3	ship-city	ship-state	ship-postal-code	ship-country	ship-phone-number	delivery-start-date	delivery-end-date	delivery-time-zone	delivery-Instructions	sales-channel
405-7022286-4824726	22076422275242	2017-02-07T14:19:32+00:00	2017-02-07T14:19:32+00:00	1111@marketplace.amazon.fr	Amar DISSOIR		B3423	Bose Mini Bluetooth Speaker	1	EUR	9.90	0.00	0.00	0.00	Standard	DISSOIR Amar	8 cité Joly			LYON		69006	FR						
407-2404278-0572725	45526025722425	2017-02-08T13:35:22+00:00	2017-02-08T13:35:22+00:00	1112@marketplace.amazon.fr	Andy VOJHANBON		DC	Datacard	1	EUR	7.29	0.00	0.00	0.00	Standard	Karl AJUMIDE	140 rue henri dunant			CHAMPIGNY SUR MARNE		94500	FR						
406-0478427-7501746	727261142022	2017-02-08T14:32:03+00:00	2017-02-08T14:32:03+00:00	1113@marketplace.amazon.fr	Camille HONNETE		CARDIF	Graphics Card	1	EUR	14.90	0.00	0.00	0.00	Standard	Lara CLEYTE	41 rue du disque			Marseille		13007	FR						
404-7240787-0270752	42482155116147	2017-02-10T16:20:00+00:00	2017-02-10T16:20:00+00:00	1114@marketplace.amazon.fr	Cécile HONXA		HDD-SH1	HDD hard disc	1	EUR	24.99	0.00	0.00	0.00	Standard	Lenny BARALAIR	22 B Grande Rue	bâtiment K		Orléans		75012	FR						
407-8251065-5874724	47277141271287	2017-02-10T19:45:44+00:00	2017-02-10T19:45:44+00:00	1115@marketplace.amazon.fr	César BI		HEAD	Headset standard	2	EUR	15.98	0.00	0.00	0.00	Standard	César BI	12 allée des pins	cidex 138		Roiffieux		7100	FR						
171-4446208-1177764	62252612206222	2017-02-10T21:43:59+00:00	2017-02-10T21:43:59+00:00	1116@marketplace.amazon.fr	Ella DUBOL		A1090	iMac	1	EUR	6.99	0.00	0.00	0.00	Standard	Elvire DEBORD	55 route de la Pré d'Ust			ORRY LA VILLE		60560	FR						
408-7172816-2241747	2772282277022	2017-02-11T11:05:04+00:00	2017-02-11T11:05:04+00:00	1118@marketplace.amazon.fr	Harry VENCOURAN		A2323b	Ipad Retina Display	1	EUR	14.90	0.00	0.00	0.00	Standard	ALEX Jean-Luc	31 rue du tilleul			sucy-en-brie		94370	FR						
171-2288871-7246714	8727725060521	2017-04-03T14:00:53+00:00	2017-04-03T14:00:53+00:00	1119@marketplace.amazon.fr	Hélène AZE	247466304	LAP-05	Laptop E5023	1	EUR	24.99	0.00	0.00	0.00	Standard	Hélène AZIBUS	38 rue des mauges			Paris		75116	FR	147466304					
171-6701878-1115528	25282707757022	2017-04-03T14:09:36+00:00	2017-04-03T14:09:36+00:00	1119@marketplace.amazon.fr	Hélène AZE	247466304	PRINT	Printer, All-in-one	1	EUR	24.99	0.00	0.00	0.00	Standard	Hélène AZE	38 rue des mauges			Paris		75116	FR	147466304					
408-6015720-8565128	58227088721787	2017-02-22T19:41:35+00:00	2017-02-22T19:41:35+00:00	1120@marketplace.amazon.fr	Lara CLEYTE		A1090	iMac	1	EUR	14.90	0.00	0.00	0.00	Standard	Lara CLEYTE	194 Impasse du Bout de Nice			Cachan		94230	FR						
408-6015720-8565128	44787741887555	2017-02-22T19:41:35+00:00	2017-02-22T19:41:35+00:00	1120@marketplace.amazon.fr	Lara CLEYTE		DC	Datacard	1	EUR	14.90	0.00	0.00	0.00	Standard	Lara CLEYTE	194 Impasse du Bout de Nice			Cachan		94230	FR						
